reference_key,category_id,product_name,keyword,normalized_keyword,match_type,source_name,source_url,source_locator,is_active
pricecatcher:496847fc5e93,2,Dressed Chicken - Standard,DRESSED CHICKEN - STANDARD,dressed chicken standard,PRICECATCHER_ITEM_NAME,Malaysia PriceCatcher Item Lookup,https://storage.data.gov.my/pricecatcher/lookup_item.csv,item_code=1,1
pricecatcher:3d1afd4447cc,2,Dressed Chicken - Super,DRESSED CHICKEN - SUPER,dressed chicken super,PRICECATCHER_ITEM_NAME,Malaysia PriceCatcher Item Lookup,https://storage.data.gov.my/pricecatcher/lookup_item.csv,item_code=2,1
pricecatcher:c4f2ae70919e,2,Imported Mutton (With Bones) (Australia - Boxed),IMPORTED MUTTON (WITH BONES) (AUSTRALIA - BOXED),imported mutton with bones australia boxed,PRICECATCHER_ITEM_NAME,Malaysia PriceCatcher Item Lookup,https://storage.data.gov.my/pricecatcher/lookup_item.csv,item_code=9,1
pricecatcher:0b54507248d2,2,Imported Mutton (With Bones) (New Zealand - Box),IMPORTED MUTTON (WITH BONES) (NEW ZEALAND - BOX),imported mutton with bones new zealand box,PRICECATCHER_ITEM_NAME,Malaysia PriceCatcher Item Lookup,https://storage.data.gov.my/pricecatcher/lookup_item.csv,item_code=10,1
pricecatcher:04d2602fb018,2,Imported Mutton (Boneless) (Excluding Leg - Australia),IMPORTED MUTTON (BONELESS) (EXCLUDING LEG - AUSTRALIA),imported mutton boneless excluding leg australia,PRICECATCHER_ITEM_NAME,Malaysia PriceCatcher Item Lookup,https://storage.data.gov.my/pricecatcher/lookup_item.csv,item_code=11,1
pricecatcher:57737b8f85d6,2,Imported Mutton (Boneless) (Excluding Leg - New Zealand),IMPORTED MUTTON (BONELESS) (EXCLUDING LEG - NEW ZEALAND),imported mutton boneless excluding leg new zealand,PRICECATCHER_ITEM_NAME,Malaysia PriceCatcher Item Lookup,https://storage.data.gov.my/pricecatcher/lookup_item.csv,item_code=12,1
pricecatcher:5b54ec08cc21,2,Imported Buffalo Meat (India) * (Topside),IMPORTED BUFFALO MEAT (INDIA) * (TOPSIDE),imported buffalo meat india topside,PRICECATCHER_ITEM_NAME,Malaysia PriceCatcher Item Lookup,https://storage.data.gov.my/pricecatcher/lookup_item.csv,item_code=14,1
pricecatcher:d22fe9162be6,5,Regular Papaya,REGULAR PAPAYA,regular papaya,PRICECATCHER_ITEM_NAME,Malaysia PriceCatcher Item Lookup,https://storage.data.gov.my/pricecatcher/lookup_item.csv,item_code=16,1
pricecatcher:0257c02c1b91,5,Berangan Banana,BERANGAN BANANA,berangan banana,PRICECATCHER_ITEM_NAME,Malaysia PriceCatcher Item Lookup,https://storage.data.gov.my/pricecatcher/lookup_item.csv,item_code=18,1
pricecatcher:61783643598f,5,Lady Finger Banana (Musa Acuminata 'Lady Finger'),LADY FINGER BANANA (MUSA ACUMINATA 'LADY FINGER'),lady finger banana musa acuminata lady finger,PRICECATCHER_ITEM_NAME,Malaysia PriceCatcher Item Lookup,https://storage.data.gov.my/pricecatcher/lookup_item.csv,item_code=19,1
